name;url;rss;rssHash;image;coverImage;description;color;feedImage;categoryId;typeId;enabled;created;modified
Learn With Jason;https://www.youtube.com/channel/UCnty0z0pNRDgnuoirYXnC5A;https://www.youtube.com/feeds/videos.xml?channel_id=UCnty0z0pNRDgnuoirYXnC5A;;/images/channels/learn-with-jason.jpg;;In this series, Jason Lengstorf learns new tools and ideas from other developers. Follow along as he learns about the tool, gets set up, and builds something with it.;;/images/feeds-default/learn-with-jason.jpg;f15e9984-89da-4970-85ae-d96b0ca79ea6;9d49fb72-c66a-4fe0-a889-f42bfa8d56d4;1;;
Ebenezer Don;https://www.youtube.com/channel/UCstfxdhJ1CFLs9Db1kFyb1g;https://www.youtube.com/feeds/videos.xml?channel_id=UCstfxdhJ1CFLs9Db1kFyb1g;;/images/channels/ebenezer-don.jpg;;Learning software engineering does not have to be rocket science. Subscribe to my channel for easy to understand software engineering videos and courses.;;/images/feeds-default/ebenezer-don.jpg;f15e9984-89da-4970-85ae-d96b0ca79ea6;9d49fb72-c66a-4fe0-a889-f42bfa8d56d4;1;;
Philipp Lackner;https://www.youtube.com/channel/UCKNTZMRHPLXfqlbdOI7mCkg;https://www.youtube.com/feeds/videos.xml?channel_id=UCKNTZMRHPLXfqlbdOI7mCkg;;/images/channels/philipp-lackner.jpg;;"Welcome to my YouTube Channel!

On the one hand this channel will help beginners to learn the fundamentals of Android Development, but on the other hand I will also upload more advanced stuff. Since the development niche is evolving so fast, I will help you to keep track of it so you don't feel lost in the jungle of coding.

You want me to make your app? Just send me an email and maybe we can make a deal :)

Imprint: https://pl-coding.com/legal-disclosure/

I don't reply to emails that are random coding questions. Only business inquiries or questions regarding my paid courses.";;/images/feeds-default/philipp-lackner.jpg;f15e9984-89da-4970-85ae-d96b0ca79ea6;9d49fb72-c66a-4fe0-a889-f42bfa8d56d4;1;;
SpringDeveloper;https://www.youtube.com/user/SpringSourceDev/featured;https://www.youtube.com/feeds/videos.xml?channel_id=UC7yfnfvEUlXUIfm8rGLwZdA;;/images/channels/springdeveloper.jpg;;"Spring is the most popular application development framework for Java™.
Millions of developers use Spring to build simple, truly portable, fast and flexible JVM-based systems and applications.
Learn more about Spring at http://www.spring.io";;/images/feeds-default/springdeveloper.jpg;f15e9984-89da-4970-85ae-d96b0ca79ea6;9d49fb72-c66a-4fe0-a889-f42bfa8d56d4;1;;
freeCodeCamp (YouTube);https://www.youtube.com/c/Freecodecamp;https://www.youtube.com/feeds/videos.xml?channel_id=UC8butISFwT-Wl7EV0hUK0BQ;;/images/channels/freecodecamp-(youtube).jpg;;Learn to code for free.;;/images/feeds-default/freecodecamp-(youtube).jpg;f15e9984-89da-4970-85ae-d96b0ca79ea6;9d49fb72-c66a-4fe0-a889-f42bfa8d56d4;1;;
Fireship;https://www.youtube.com/c/Fireship;https://www.youtube.com/feeds/videos.xml?channel_id=UCsBjURrPoezykLs9EqgamOA;;/images/channels/fireship.jpg;;"High-intensity ⚡ code tutorials to help you build & ship your app faster. Subscribe for new videos every week covering intermediate to advanced lessons about JavaScript, Flutter, Firebase, and modern app development.

The original home of #100SecondsOfCode and #CodeThisNotThat. Created by Jeff Delaney.

Building an app? Get project support, advanced full courses, and more at https://fireship.io";;/images/feeds-default/fireship.jpg;f15e9984-89da-4970-85ae-d96b0ca79ea6;9d49fb72-c66a-4fe0-a889-f42bfa8d56d4;1;;
Beyond Fireship;https://www.youtube.com/channel/UC2Xd-TjJByJyK2w1zNwY0zQ;https://www.youtube.com/feeds/videos.xml?channel_id=UCsBjURrPoezykLs9EqgamOA;;/images/channels/beyond-fireship.jpg;;Even more highly-focused blazingly-fast coding tutorials from Fireship;;/images/feeds-default/beyond-fireship.jpg;f15e9984-89da-4970-85ae-d96b0ca79ea6;9d49fb72-c66a-4fe0-a889-f42bfa8d56d4;1;;
Web Dev Simplified;https://www.youtube.com/c/WebDevSimplified;https://www.youtube.com/feeds/videos.xml?channel_id=UCFbNIlppjAuEX4znoulh0Cw;;/images/channels/web-dev-simplified.jpg;;"Web Dev Simplified is all about teaching web development skills and techniques in an efficient and practical manner. If you are just getting started in web development Web Dev Simplified has all the tools you need to learn the newest and most popular technologies to convert you from a no stack to full stack developer. Web Dev Simplified also deep dives into advanced topics using the latest best practices for you seasoned web developers.

I started Web Dev Simplified in order to share my passion for web development, and do what I truly love. Teach and inspire new web developers. I have been in love with full stack web development since 2015 when I did my first internship as a web developer. Ever since then I have pursued my passion, learning everything there is to know about web development. Over the years I have taught many colleagues and friends the joys of web development, and cannot wait to teach you.

Thank you for watching!";;/images/feeds-default/web-dev-simplified.jpg;f15e9984-89da-4970-85ae-d96b0ca79ea6;9d49fb72-c66a-4fe0-a889-f42bfa8d56d4;1;;
Kevin Powell;https://www.youtube.com/kepowob;https://www.youtube.com/feeds/videos.xml?channel_id=UCJZv4d5rbIKd4QHMPkcABCw;;/images/channels/kevin-powell.jpg;;"Helping you learn how to make the web, and make it look good while you're at it.

With videos every Tuesday and Thursday, I'll be bringing you How Tos and Tutorials, as well as simple tips and tricks, with a big focus on helping people see how wonderful CSS is!";;/images/feeds-default/kevin-powell.jpg;f15e9984-89da-4970-85ae-d96b0ca79ea6;9d49fb72-c66a-4fe0-a889-f42bfa8d56d4;1;;
JavaScript Mastery;https://www.youtube.com/c/JavaScriptMastery/featured;https://www.youtube.com/feeds/videos.xml?channel_id=UCmXmlB4-HJytD7wek0Uo97A;;/images/channels/javascript-mastery.jpg;;Launch your development career with project-based coaching - showcase your skills with practical development experience and land the coding career of your dreams. Check out jsmastery.pro to learn more.;;/images/feeds-default/javascript-mastery.jpg;f15e9984-89da-4970-85ae-d96b0ca79ea6;9d49fb72-c66a-4fe0-a889-f42bfa8d56d4;1;;
Franks laboratory;https://www.youtube.com/c/Frankslaboratory/featured;https://www.youtube.com/feeds/videos.xml?channel_id=UCEqc149iR-ALYkGM6TG-7vQ;;/images/channels/franks-laboratory.jpg;;"Creative coding experiments, CSS animations, vanilla JavaScript effects, HTML canvas, game development, front-end web development & web design...

https://twitter.com/code_laboratory
https://codepen.io/franksLaboratory

Hi everyone, welcome to my creative coding channel. Every tutorial is coded from scratch using plain vanilla JavaScript or CSS, no libraries and no frameworks. Code is explained line by line as we go along. I think it's important to understand how things work under the hood before learning one of the big libraries like React or Angular, or even Bootstrap.

Lets talk about ES6 syntax, accessibility, array manipulation, CSS transitions and so on, but let's make the examples fun. For me the best way to learn and remember a new technique is to build something different that will stand out.

If you are a coding student like me and want to get new front-end skills try some of my vanilla JavaScript and HTML 5 canvas animation tutorials or CSS experiments.";;/images/feeds-default/franks-laboratory.jpg;f15e9984-89da-4970-85ae-d96b0ca79ea6;9d49fb72-c66a-4fe0-a889-f42bfa8d56d4;1;;
Clear Code;https://www.youtube.com/c/ClearCode;https://www.youtube.com/feeds/videos.xml?channel_id=UCznj32AM2r98hZfTxrRo9bQ;;/images/channels/clear-code.jpg;;I am making tutorials on coding, primarily in Python.;;/images/feeds-default/clear-code.jpg;f15e9984-89da-4970-85ae-d96b0ca79ea6;9d49fb72-c66a-4fe0-a889-f42bfa8d56d4;1;;
Python Simplified;https://www.youtube.com/c/PythonSimplified/featured;https://www.youtube.com/feeds/videos.xml?channel_id=UCKQdc0-Targ4nDIAUrlfKiA;;/images/channels/python-simplified.jpg;;"Hi everyone! My name is Mariya and I'm a Developer from Vancouver, British Columbia.
I film simple programming tutorials about Computer Science Concepts, GUI Applications, Machine Learning and Artificial Intelligence, Automation and Web Scraping, Data Science and even Math! 🤓
I'm here to help you with your programming journey (in particular - your Python programming journey 😉) and show you how many beautiful and powerful things we can do with code! 💪💪💪";;/images/feeds-default/python-simplified.jpg;f15e9984-89da-4970-85ae-d96b0ca79ea6;9d49fb72-c66a-4fe0-a889-f42bfa8d56d4;1;;
